x,y
0,65.82
1,97.49
2,129.16
3,160.83
4,192.5
5,224.17
6,255.84
7,287.51
8,319.18
9,350.85
10,382.52
11,414.19
12,445.86
13,477.53
14,509.2
15,540.87
16,572.54
17,604.21
18,635.88
19,667.55
20,699.22
21,730.89
22,762.56
23,794.23
24,825.9
25,857.57
26,889.24
27,920.91
28,952.58
29,984.25
30,1015.92
31,1047.59
32,1079.26
33,1110.93
34,1142.6
35,1174.27
36,1205.94
37,1237.61
38,1269.28
39,1300.95
40,1332.62
41,1364.29
42,1395.96
43,1427.63
44,1459.3
45,1490.97
46,1522.64
47,1554.31
48,1585.98
49,1617.65
50,1649.32
51,1680.99
52,1712.66
53,1744.33
54,1776
55,1807.67
56,1839.34
57,1871.01
58,1902.68
59,1934.35
60,1966.02
61,1997.69
62,2029.36
63,2061.03
64,2092.7
65,2124.37
66,2156.04
67,2187.71
68,2219.38
69,2251.05
70,2282.72
71,2314.39
72,2346.06
73,2377.73
74,2409.4
75,2441.07
76,2472.74
77,2504.41
78,2536.08
79,2567.75
80,2599.42
81,2631.09
82,2662.76
83,2694.43
84,2726.1
85,2757.77
86,2789.44
87,2821.11
88,2852.78
89,2884.45
90,2916.12
91,2947.79
92,2979.46
93,3011.13
94,3042.8
95,3074.47
96,3106.14
97,3137.81
98,3169.48
99,3201.15
